iso_code,iso_code,,new_deaths_smoothed_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excess_mortality,excess_mortality_cumulative_per_million
BRA,South America,,0.323,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.386,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.417,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.465,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.453,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.491,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.509,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.564,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.611,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.649,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.723,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.82,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.826,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.839,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.806,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.78,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,0.938,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.042,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.135,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.216,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.344,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.561,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.738,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.783,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42,84.53655249
BRA,South America,,1.805,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.802,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.843,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
BRA,South America,,1.842,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
